age,gender,location,account_type,login_frequency,transaction_count,avg_transaction_amount,total_spent,customer_service_interaction_count,churn,registration_date_year,registration_date_month,registration_date_day
42,male,port richard,loan,21,14,569.91,7978.74,6,1,2021,5,19
46,female,amyport,savings,15,420,140.25,58905.0,3,1,2021,8,15
46,female,carpentermouth,savings,21,21,553.03,11613.63,10,0,2022,2,27
68,male,lake cheryl,loan,27,400,273.72,109488.0,5,1,2021,4,7
31,male,port tracy,savings,25,26,747.95,19446.7,5,0,2021,5,19
42,female,port belindaburgh,savings,2,394,539.27,212472.38,5,0,2025,2,10
22,male,new lukeview,checking,22,126,841.79,106065.54,1,0,2020,1,6
52,male,campbellfort,savings,2,47,917.7,43131.9,8,0,2020,11,14
25,female,cruzmouth,loan,15,172,787.96,135529.12,8,0,2020,11,21
55,female,port williammouth,savings,28,42,747.66,31401.72,9,1,2025,6,7
26,female,nunezburgh,loan,12,369,880.19,324790.11,5,0,2022,2,28
47,male,emmashire,loan,20,35,991.99,34719.65,8,0,2021,2,24
61,male,kellyland,checking,16,172,978.29,168265.88,3,0,2024,6,12
21,female,danielleborough,savings,10,405,726.16,294094.8,9,1,2021,5,10
50,male,brandibury,loan,14,208,543.28,113002.24,4,1,2024,5,21
54,male,port jenna,savings,27,314,593.89,186481.46,10,1,2024,6,29
31,female,jordanbury,savings,6,420,800.35,336147.0,0,1,2022,5,10
47,male,amyview,loan,10,94,708.26,66576.44,1,1,2020,10,21
67,female,samanthashire,savings,2,486,854.4,415238.4,2,1,2023,10,27
27,female,north bradleyfurt,checking,23,493,58.73,28953.89,1,1,2020,1,29
49,female,east amanda,savings,12,182,603.71,109875.22,10,0,2024,12,2
69,female,audreyfurt,savings,9,343,462.78,158733.54,5,1,2025,2,7
66,female,port valerie,loan,21,347,278.93,96788.71,6,0,2020,2,20
49,female,chambersfurt,checking,23,424,392.37,166364.88,9,1,2021,5,3
41,female,west curtisside,checking,4,183,431.1,78891.3,4,0,2021,5,2
58,male,erikville,savings,5,411,352.24,144770.64,5,1,2020,7,23
50,female,peggyfurt,savings,1,178,879.08,156476.24,5,1,2021,4,19
63,female,harrisborough,savings,25,474,491.51,232975.74,6,0,2021,7,25
20,female,laurenton,loan,16,57,524.89,29918.73,7,0,2021,2,9
21,female,west christinatown,savings,26,114,218.37,24894.18,4,1,2024,2,3
35,female,south michele,checking,13,473,861.62,407546.26,5,0,2023,8,11
62,male,east michaelberg,checking,14,67,608.33,40758.11,0,1,2022,5,20
66,female,jeremyport,savings,13,319,686.84,219101.96,7,0,2020,2,25
32,male,morseburgh,savings,7,180,450.43,81077.4,2,1,2025,5,3
40,female,samueltown,savings,25,168,601.15,100993.2,5,1,2021,1,30
59,female,new sharonstad,savings,24,355,453.3,160921.5,4,0,2023,5,15
18,female,port shawn,loan,2,298,305.4,91009.2,1,0,2020,11,29
56,male,lake annettefurt,checking,1,163,687.79,112109.77,4,1,2020,1,13
56,female,evansfort,savings,2,232,97.2,22550.4,8,0,2020,12,10
28,female,north jeffrey,savings,16,165,225.08,37138.2,6,1,2025,5,10
63,female,new kenneth,loan,6,273,982.1,268113.3,8,1,2024,4,7
32,female,south john,loan,24,132,115.47,15242.04,5,0,2024,1,28
59,female,harmonland,savings,24,383,238.71,91425.93,9,1,2020,6,8
61,female,port rebeccatown,loan,14,78,480.29,37462.62,2,0,2024,6,3
55,female,lindseyside,savings,1,174,175.75,30580.5,5,0,2023,12,7
50,male,lake janet,savings,5,270,135.83,36674.1,6,1,2023,5,1
61,female,north mirandaton,loan,1,459,119.67,54928.53,5,1,2023,1,26
33,female,romanville,savings,13,339,608.2,206179.8,10,1,2021,6,16
50,male,port jasmineland,savings,28,453,187.06,84738.18,3,0,2023,3,17
45,male,julieview,savings,23,273,906.35,247433.55,10,1,2022,9,22
69,female,port helen,loan,8,12,992.54,11910.48,0,0,2022,12,29
18,female,port paulbury,checking,18,299,979.32,292816.68,5,0,2022,12,13
66,female,shannonmouth,savings,4,381,481.87,183592.47,8,0,2024,10,5
21,female,erikastad,savings,30,353,329.69,116380.57,9,1,2025,1,22
70,female,lake matthew,loan,17,43,155.75,6697.25,10,0,2025,4,1
21,female,charlestown,savings,18,390,745.35,290686.5,6,0,2021,8,19
36,male,new sharon,savings,26,103,882.69,90917.07,4,0,2023,4,3
70,male,lake charlesborough,savings,2,145,502.22,72821.9,2,1,2023,3,1
18,female,coreyville,checking,27,420,363.92,152846.4,7,0,2025,7,4
55,female,port bryanshire,checking,30,176,53.61,9435.36,7,0,2021,6,4
21,female,emilyberg,savings,16,347,947.56,328803.32,3,0,2022,10,18
52,male,port erin,savings,13,218,611.67,133344.06,5,0,2020,4,25
66,male,thompsonbury,loan,25,262,394.29,103303.98,4,1,2022,9,22
39,male,jonathantown,savings,7,435,742.15,322835.25,2,0,2021,8,29
63,female,south angiestad,checking,29,392,185.82,72841.44,2,1,2023,11,13
60,male,wagnerbury,loan,12,141,215.89,30440.49,4,0,2023,12,15
18,female,marshview,checking,17,441,269.94,119043.54,6,0,2020,1,29
42,female,mariaton,savings,7,179,761.55,136317.45,4,0,2022,12,12
65,male,lake jameston,savings,14,334,54.79,18299.86,8,0,2024,12,15
62,male,annashire,loan,25,241,695.65,167651.65,0,1,2024,5,31
56,male,larsonchester,loan,21,356,175.69,62545.64,9,0,2023,11,12
61,female,north alexisville,savings,11,149,852.17,126973.33,0,0,2021,9,1
69,male,east lindafurt,savings,22,185,930.54,172149.9,9,1,2022,11,22
53,female,new martha,loan,12,228,531.73,121234.44,7,1,2020,3,19
23,female,north patrickstad,checking,3,319,676.21,215710.99,4,1,2022,8,7
42,female,east jaclynmouth,checking,28,53,262.77,13926.81,6,0,2024,7,1
32,female,tabithaport,loan,19,215,281.83,60593.45,4,1,2024,6,17
69,female,christopherport,savings,16,164,967.35,158645.4,4,1,2020,10,30
20,female,ashleyfurt,savings,8,130,585.76,76148.8,7,1,2025,1,11
52,female,port stephaniechester,checking,30,482,197.64,95262.48,9,0,2020,5,12
62,female,rachelchester,checking,14,382,561.41,214458.62,5,0,2021,1,9
33,female,orrfort,checking,18,145,713.14,103405.3,4,0,2024,9,18
38,male,east douglas,savings,21,107,509.32,54497.24,6,0,2020,10,7
23,female,brittneyshire,savings,12,363,112.6,40873.8,7,0,2022,4,11
32,female,teresatown,loan,3,129,741.78,95689.62,9,1,2020,12,4
60,female,west brett,checking,6,192,645.78,123989.76,3,0,2024,6,12
57,male,martinezside,savings,2,339,691.14,234296.46,2,1,2025,1,2
60,male,port derek,savings,27,296,511.47,151395.12,8,1,2023,9,22
26,male,north samantha,savings,1,402,53.48,21498.96,6,0,2021,2,6
54,male,kellermouth,savings,9,395,304.21,120162.95,4,1,2025,6,25
53,male,south johnshire,savings,1,420,486.85,204477.0,1,0,2020,12,29
19,female,johnville,checking,1,136,327.58,44550.88,8,0,2020,12,4
59,female,west jacqueline,savings,11,461,371.35,171192.35,7,0,2020,5,17
41,female,brittanyville,checking,26,201,745.82,149909.82,8,0,2024,6,4
58,male,harrisside,savings,12,463,645.59,298908.17,3,1,2025,7,22
38,female,morganfort,checking,17,238,989.98,235615.24,0,0,2021,7,3
39,male,lake williamstad,savings,9,427,549.37,234580.99,4,1,2020,4,15
57,female,south brian,loan,26,48,140.93,6764.64,10,1,2021,10,16
33,female,north joeview,checking,14,217,628.52,136388.84,4,1,2024,5,2
24,male,kimberlyborough,savings,26,73,908.64,66330.72,3,0,2021,7,11
59,male,brianville,savings,23,235,794.35,186672.25,6,1,2025,1,12
65,female,east stephanieview,checking,3,64,281.79,18034.56,1,1,2020,11,17
53,female,martinstad,savings,12,44,631.81,27799.64,9,0,2024,10,16
49,female,port andrew,savings,30,99,934.57,92522.43,2,0,2020,11,16
24,male,michaeltown,savings,23,469,808.33,379106.77,4,1,2023,2,20
68,female,chavezberg,savings,30,440,50.31,22136.4,0,0,2021,7,18
43,female,new mark,savings,15,309,30.26,9350.34,0,0,2020,1,17
44,female,west seanfurt,savings,20,234,491.36,114978.24,4,1,2022,8,14
33,female,thomasview,savings,23,167,537.44,89752.48,0,1,2022,1,14
18,male,south rachel,checking,20,25,692.22,17305.5,0,1,2025,5,2
48,female,south kathleen,savings,18,81,582.3,47166.3,2,1,2020,7,12
24,female,franciscotown,loan,9,46,359.98,16559.08,9,1,2023,5,11
52,female,kaitlinbury,savings,20,229,281.56,64477.24,7,0,2022,5,21
35,female,new margaret,checking,9,174,571.03,99359.22,0,1,2021,3,25
70,female,west paul,loan,3,469,520.28,244011.32,1,0,2022,5,13
65,female,south bryan,loan,7,310,659.71,204510.1,2,1,2020,4,1
39,female,west christine,savings,24,469,335.61,157401.09,5,1,2025,2,10
23,female,taylorborough,savings,20,364,613.43,223288.52,6,1,2020,9,2
35,female,courtneyfurt,checking,22,131,52.12,6827.72,10,1,2021,12,23
26,male,snowberg,savings,30,492,192.19,94557.48,6,1,2023,6,8
42,male,deborahshire,checking,6,236,772.99,182425.64,7,0,2024,3,9
36,female,east jamestown,savings,23,30,212.37,6371.1,4,0,2020,4,8
36,male,brownfort,savings,24,460,167.62,77105.2,6,1,2024,6,8
36,female,rhondamouth,checking,21,42,87.57,3677.94,5,0,2022,5,30
34,female,west kenneth,checking,25,210,589.5,123795.0,0,0,2021,1,3
30,male,smithburgh,savings,19,347,710.64,246592.08,7,0,2021,8,2
40,female,archerhaven,checking,21,80,82.45,6596.0,4,0,2023,8,18
18,male,paynechester,savings,20,411,170.25,69972.75,0,0,2024,10,21
43,female,williamston,checking,11,26,483.4,12568.4,4,1,2022,11,13
46,female,leemouth,savings,22,343,11.5,3944.5,7,1,2021,4,10
56,female,reedhaven,savings,24,494,484.19,239189.86,4,0,2025,4,19
27,male,new benjamin,checking,25,390,563.08,219601.2,8,0,2022,8,25
18,female,morrisonton,savings,9,19,957.49,18192.31,8,0,2024,7,25
62,female,charlesshire,savings,10,277,717.2,198664.4,6,1,2025,4,26
53,male,west judystad,savings,5,350,631.45,221007.5,8,0,2024,10,10
43,male,west brendan,loan,1,483,950.18,458936.94,4,0,2021,5,20
27,female,north danaview,savings,1,186,536.88,99859.68,10,0,2023,9,12
31,male,west chelsea,savings,10,162,377.69,61185.78,5,0,2021,3,26
57,female,south brianbury,loan,3,180,434.11,78139.8,7,1,2023,1,22
46,female,lisaview,loan,16,312,805.75,251394.0,6,1,2023,6,10
25,female,hollandfort,checking,14,181,234.65,42471.65,5,0,2024,6,25
37,male,ryanberg,loan,3,199,373.5,74326.5,8,0,2022,4,15
55,female,amyside,savings,26,225,397.63,89466.75,8,1,2022,12,2
35,female,stoneview,savings,14,69,948.28,65431.32,2,1,2024,8,20
37,female,port angelaport,loan,16,376,663.01,249291.76,7,1,2020,2,2
41,female,brendaborough,checking,23,323,57.71,18640.33,5,1,2021,7,16
48,female,port paige,savings,16,472,631.53,298082.16,6,1,2021,3,14
64,female,lindaside,savings,17,365,316.87,115657.55,10,1,2024,7,22
34,male,rodriguezhaven,loan,16,359,513.21,184242.39,8,1,2021,9,1
51,female,ashleyville,savings,30,500,729.11,364555.0,4,1,2020,1,17
31,female,port morganhaven,loan,27,130,59.62,7750.6,6,1,2021,4,7
45,female,east jasonmouth,savings,24,455,393.26,178933.3,3,1,2021,4,17
46,male,anthonytown,savings,18,447,11.16,4988.52,6,1,2024,6,30
32,male,carrmouth,savings,7,449,124.35,55833.15,4,0,2020,3,13
31,female,torresstad,checking,18,271,875.15,237165.65,8,0,2023,3,3
49,female,wagnerside,loan,7,280,699.61,195890.8,3,1,2024,9,4
45,male,north jasonton,loan,20,220,53.63,11798.6,3,0,2021,12,19
57,male,east megan,checking,21,221,653.01,144315.21,5,1,2023,5,27
34,female,craigport,savings,27,366,958.6,350847.6,5,0,2021,7,14
53,male,kevinborough,checking,7,230,950.76,218674.8,1,1,2024,7,28
25,female,east wendy,checking,6,108,873.97,94388.76,7,0,2022,2,14
64,female,lake nicholas,loan,7,56,538.04,30130.24,10,0,2024,7,22
39,male,new greg,loan,9,402,356.96,143497.92,5,0,2021,10,17
54,female,millerchester,savings,21,241,600.58,144739.78,5,0,2024,5,18
55,female,markborough,loan,25,442,259.8,114831.6,6,0,2022,12,22
58,male,west brittany,savings,29,452,332.96,150497.92,1,0,2023,12,22
20,male,pinedamouth,loan,18,283,583.09,165014.47,9,0,2020,3,6
40,male,east katelyn,loan,22,467,801.15,374137.05,3,1,2025,4,2
32,female,martinezfurt,loan,14,317,786.81,249418.77,2,1,2020,4,20
42,female,north isabellaberg,savings,11,453,168.72,76430.16,9,0,2025,5,28
58,female,keithland,savings,12,406,565.5,229593.0,5,1,2022,10,16
55,male,new eric,savings,23,227,503.42,114276.34,10,0,2023,11,15
39,female,patrickstad,loan,30,276,988.32,272776.32,4,1,2023,1,5
43,female,lake jamesborough,loan,24,289,960.29,277523.81,6,0,2020,12,15
69,male,east melanie,savings,28,429,214.22,91900.38,2,1,2022,7,6
23,female,west bryce,checking,17,237,231.77,54929.49,1,0,2024,8,9
55,female,west kevin,savings,4,453,11.35,5141.55,4,0,2023,11,15
31,female,parkermouth,savings,28,10,179.44,1794.4,5,1,2025,3,4
52,female,jacobtown,savings,25,393,55.96,21992.28,5,0,2022,4,5
35,male,west derrickfort,savings,17,436,137.39,59902.04,9,0,2023,11,25
18,female,jessemouth,checking,25,63,971.09,61178.67,5,0,2023,3,1
32,female,gregoryview,checking,14,423,489.86,207210.78,4,1,2020,3,3
58,female,mitchellfurt,loan,10,133,606.0,80598.0,6,1,2020,2,4
56,female,floresstad,checking,8,109,399.73,43570.57,1,1,2023,5,26
54,female,new joel,savings,24,61,67.08,4091.88,6,1,2020,3,29
19,female,port jamesberg,loan,18,243,784.71,190684.53,2,1,2023,11,13
38,female,josephton,checking,28,318,46.95,14930.1,6,1,2024,11,28
48,male,lake paultown,savings,4,77,46.69,3595.13,4,1,2021,3,8
31,female,gloriamouth,savings,11,495,899.47,445237.65,6,1,2024,9,25
55,female,annamouth,loan,5,500,58.89,29445.0,10,1,2021,7,29
55,male,jessicamouth,savings,5,226,218.61,49405.86,5,0,2022,11,19
27,female,coopertown,savings,8,304,335.97,102134.88,0,1,2024,11,24
50,female,south christinechester,savings,10,439,767.57,336963.23,10,1,2024,12,31
69,female,sergioshire,loan,12,66,626.29,41335.14,9,1,2020,5,19
22,female,east joshuatown,savings,4,396,911.43,360926.28,9,0,2021,1,5
70,female,fisherport,loan,17,41,722.41,29618.81,1,1,2025,7,14
22,male,williamstad,savings,18,52,852.92,44351.84,3,0,2022,9,9
49,female,east justinview,savings,28,318,727.22,231255.96,5,0,2021,6,14
70,female,new nancy,checking,12,260,802.61,208678.6,6,0,2024,6,1
68,female,davisport,checking,19,157,500.88,78638.16,6,1,2024,7,27
68,male,petersonfurt,savings,18,477,46.45,22156.65,6,0,2024,9,18
47,female,south adrian,savings,29,69,995.21,68669.49,6,1,2020,2,2
70,female,port jenniferside,checking,3,157,495.13,77735.41,8,0,2025,7,2
54,female,stacyview,checking,22,80,459.13,36730.4,1,0,2024,7,11
42,female,alexandramouth,savings,8,179,34.93,6252.47,2,0,2020,8,11
37,female,fergusonstad,checking,28,270,963.36,260107.2,9,1,2020,12,18
35,female,johnsonland,checking,23,440,575.59,253259.6,6,1,2024,2,9
31,female,robertstad,loan,24,275,442.78,121764.5,9,0,2023,11,22
49,male,kevinstad,loan,7,163,190.36,31028.68,4,1,2025,3,28
67,female,port hannahville,loan,13,351,187.56,65833.56,1,0,2023,10,19
51,male,lake jennifer,loan,22,233,457.48,106592.84,1,0,2023,5,23
19,female,staceyburgh,savings,7,183,614.63,112477.29,0,1,2022,10,13
27,female,hatfieldside,savings,23,143,542.6,77591.8,1,1,2022,12,10
60,female,new clayton,savings,24,64,75.48,4830.72,5,0,2022,1,19
50,male,paulside,savings,9,103,827.81,85264.43,5,0,2025,2,11
20,female,south amanda,checking,17,348,528.03,183754.44,0,1,2022,5,23
38,male,south dennis,savings,19,471,915.58,431238.18,7,1,2024,9,19
18,female,east taylormouth,savings,2,95,819.32,77835.4,3,1,2023,12,26
18,female,lake sarabury,checking,1,111,14.67,1628.37,4,1,2021,6,2
45,male,west angelafort,loan,2,158,23.05,3641.9,4,0,2021,3,27
57,male,griffinville,savings,12,380,625.03,237511.4,8,1,2022,10,14
43,female,tinamouth,savings,2,82,18.26,1497.32,8,1,2022,11,18
59,male,port robert,checking,1,259,873.4,226210.6,5,1,2023,5,14
45,female,new joseph,loan,18,330,609.25,201052.5,6,1,2024,5,7
21,female,mullentown,savings,7,429,826.05,354375.45,3,1,2022,11,22
29,male,south adamshire,savings,13,497,628.12,312175.64,9,0,2022,4,15
65,female,port angelaview,savings,22,497,113.01,56165.97,2,0,2024,7,8
40,male,port conniebury,loan,10,184,190.79,35105.36,6,1,2021,4,5
21,female,new anne,checking,8,474,695.44,329638.56,10,1,2023,10,27
44,female,edwardberg,savings,19,487,792.0,385704.0,0,1,2021,11,2
65,female,leemouth,loan,3,457,167.02,76328.14,3,1,2024,3,16
54,female,seanview,savings,20,67,285.6,19135.2,0,1,2024,1,12
57,female,new angelamouth,checking,5,347,654.26,227028.22,2,1,2022,7,18
22,male,port robert,loan,7,390,631.84,246417.6,1,0,2020,9,21
46,male,west jonathanmouth,savings,11,236,556.01,131218.36,3,0,2020,2,4
57,female,kimberlyland,loan,3,254,906.86,230342.44,0,0,2025,6,9
18,female,port paulaport,savings,30,475,119.45,56738.75,6,0,2021,10,18
28,female,north meghanville,checking,2,18,641.75,11551.5,4,1,2021,11,12
40,male,west davidberg,checking,28,462,734.88,339514.56,10,0,2021,8,9
37,female,lake davidport,savings,4,234,374.47,87625.98,1,1,2023,12,5
21,female,new michaelview,checking,14,463,428.11,198214.93,5,1,2022,6,2
44,female,south heidibury,savings,19,451,678.74,306111.74,4,1,2022,7,17
20,male,north maryborough,savings,21,27,385.39,10405.53,0,1,2022,4,12
21,female,north travisfort,savings,6,230,786.53,180901.9,0,1,2024,12,17
43,male,tinaland,savings,14,417,156.14,65110.38,10,1,2022,4,15
54,female,michelleton,checking,28,33,514.71,16985.43,4,0,2021,11,12
46,male,ashleyside,checking,7,215,736.56,158360.4,1,1,2020,1,29
26,female,east erica,savings,2,58,343.13,19901.54,2,0,2025,2,7
24,male,austinshire,savings,13,182,105.31,19166.42,8,0,2020,11,4
54,male,north crystal,savings,21,57,915.73,52196.61,3,1,2021,5,17
43,female,jamestown,loan,21,395,412.32,162866.4,6,0,2025,6,18
64,female,east robertburgh,loan,5,171,728.98,124655.58,8,0,2025,1,27
59,female,phamstad,checking,29,422,963.59,406634.98,9,0,2023,8,27
31,male,parkview,checking,8,147,832.89,122434.83,9,1,2025,3,17
23,female,baxterbury,checking,3,237,937.97,222298.89,10,1,2022,3,1
26,male,victorton,savings,22,445,823.53,366470.85,9,0,2021,1,9
42,female,east jerry,checking,2,345,558.06,192530.7,10,0,2021,11,17
70,male,new joshuaton,loan,4,141,592.54,83548.14,1,1,2024,8,20
41,female,ericmouth,savings,26,454,215.82,97982.28,2,0,2021,8,23
45,male,lake ryanland,savings,18,267,619.99,165537.33,3,0,2023,11,16
31,female,laurenville,savings,27,85,26.19,2226.15,0,0,2023,4,24
33,male,janeton,savings,16,222,839.8,186435.6,10,0,2022,8,16
38,female,stanleyside,savings,5,14,580.87,8132.18,4,1,2021,11,17
24,male,west scottbury,checking,6,51,350.26,17863.26,7,1,2023,9,14
